station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,Patm_3,WindSpeed,CO2_SO2
ME02,2008-04-12 00:00:00+00:00,2.0815122822615417e-07,1.9506735046728602e-05,6.405239523664696e-08,0.110228,15.479687,948.154682,0.0,13.0
ME02,2008-04-12 01:00:00+00:00,1.512443844229424e-07,1.546995133861981e-05,6.452721008205604e-08,0.1022,20.390998,948.040244,3.278689,13.0
ME02,2008-04-12 02:00:00+00:00,1.5190656857472308e-07,1.522421415293279e-05,7.12506521164701e-08,0.109727,16.810032,947.725539,0.0,13.0
ME02,2008-04-12 03:00:00+00:00,1.4958544007014132e-07,1.6444614144770284e-05,6.437699849861117e-08,0.106214,17.158116,947.525272,0.0,13.0
ME02,2008-04-12 04:00:00+00:00,1.4833334961616758e-07,1.7292886887163234e-05,6.347700186477004e-08,0.105713,16.290292,947.553881,0.0,13.0
ME02,2008-04-12 05:00:00+00:00,2.517509299139393e-07,0.00017146354827059058,2.070644318924234e-06,0.118256,15.408163,947.33931,0.0,13.0
ME02,2008-04-12 06:00:00+00:00,3.040981463279783e-05,0.014993640016902543,7.038214974476561e-05,0.109727,16.571619,948.555216,0.0,12.0
ME02,2008-04-12 07:00:00+00:00,1.6878076375021213e-07,2.1831341124763604e-05,8.720674537217697e-08,0.109225,20.114438,949.227541,0.0,12.0
ME02,2008-04-12 08:00:00+00:00,2.27730233140673e-07,3.515733094556741e-05,1.0154089925914682e-07,0.109727,19.556552,949.942781,4.098361,12.0
ME02,2008-04-12 09:00:00+00:00,1.938363043360785e-07,2.5374897831619402e-05,9.076668480134845e-08,0.110228,21.158688,950.815373,4.098361,12.0
ME02,2008-04-12 10:00:00+00:00,1.4973410132762536e-07,3.091548334311853e-05,7.334171032749178e-08,0.107218,21.854854,951.087164,41.393443,12.0
ME02,2008-04-12 11:00:00+00:00,1.4514806674698687e-07,3.337247588359167e-05,6.520812318828993e-08,0.099691,21.821476,951.487698,28.688525,12.0
ME02,2008-04-12 12:00:00+00:00,1.8591594041681708e-07,2.858829858113282e-05,8.383031715924652e-08,0.099691,22.784665,951.473393,18.032787,11.0
ME02,2008-04-12 13:00:00+00:00,1.764688644454167e-07,3.584594791008868e-05,9.055952300764916e-08,0.096179,21.296967,951.387564,2.04918,11.0
ME02,2008-04-12 14:00:00+00:00,1.660320989761792e-07,1.4712365931243199e-05,7.590446551129504e-08,0.088151,21.397101,951.287431,20.491803,11.0
ME02,2008-04-12 15:00:00+00:00,1.656054571048901e-07,1.3327370263968243e-05,6.018670346358182e-08,0.096179,19.647149,951.459088,6.147541,11.0
ME02,2008-04-12 16:00:00+00:00,2.4186817357148516e-07,0.000126488159943126,2.9380988990915687e-06,0.095677,18.774557,951.444784,25.819672,11.0
ME02,2008-04-12 17:00:00+00:00,1.66470891419998e-07,1.332996833874991e-05,6.658541215743057e-08,0.087148,17.854282,951.816708,0.0,11.0
ME02,2008-04-12 18:00:00+00:00,1.6287237726955918e-07,1.5886227873980187e-05,6.573898359598314e-08,0.098688,17.263017,952.231547,59.016393,10.0
ME02,2008-04-12 19:00:00+00:00,1.6442211671551243e-07,1.4811137132607447e-05,6.703175384404132e-08,0.1022,14.034904,953.247187,0.409836,10.0
ME02,2008-04-12 20:00:00+00:00,1.6112460295711334e-07,1.8469018735003666e-05,7.150609557110382e-08,0.098186,13.324433,953.733549,2.04918,10.0
ME02,2008-04-12 21:00:00+00:00,1.6144719734311704e-07,1.530945748089364e-05,6.754312634928485e-08,0.106214,12.990654,954.262827,0.0,10.0
ME02,2008-04-12 22:00:00+00:00,1.6204966867786886e-07,1.6974923776092087e-05,6.782851694390029e-08,0.109727,14.244707,954.234217,11.885246,10.0
ME02,2008-04-12 23:00:00+00:00,1.624439323996909e-07,1.602618655136039e-05,6.766347908458338e-08,0.126285,12.957276,954.677665,27.459016,10.0
ME02,2008-04-13 00:00:00+00:00,1.6371066972736587e-07,1.8398023725559202e-05,6.774504411497447e-08,0.117755,12.170513,954.591837,31.147541,9.0
ME02,2008-04-13 01:00:00+00:00,1.6256884722446972e-07,1.5186564783033221e-05,6.873755186929616e-08,0.121267,11.374213,954.463094,0.0,9.0
ME02,2008-04-13 02:00:00+00:00,1.6436472050003237e-07,1.4822143356780043e-05,6.848697919719106e-08,0.116751,11.841503,954.606142,30.327869,9.0
ME02,2008-04-13 03:00:00+00:00,1.6281365975735852e-07,1.6680760375402795e-05,7.004493352441218e-08,0.124779,12.189586,954.248522,13.934426,9.0
ME02,2008-04-13 04:00:00+00:00,1.6439553073152513e-07,1.6300798847141472e-05,6.930715062740117e-08,0.123776,12.852375,954.119779,17.622951,9.0
ME02,2008-04-13 05:00:00+00:00,1.6018920878481064e-07,1.6596584030304504e-05,6.787760404065218e-08,0.117253,13.60576,954.434484,0.0,9.0
ME02,2008-04-13 06:00:00+00:00,1.5316384180539512e-07,1.3212986307266689e-05,6.593844801807939e-08,0.116249,14.158879,955.092504,0.0,9.475
ME02,2008-04-13 07:00:00+00:00,1.5611916080754818e-07,1.760676919700009e-05,7.230284556135323e-08,0.116249,14.578486,956.136754,6.557377,9.475
ME02,2008-04-13 08:00:00+00:00,1.7187879588360799e-07,1.5243946514401283e-05,8.46945415150534e-08,0.128793,15.412932,957.037955,0.0,9.475
ME02,2008-04-13 09:00:00+00:00,1.760284113126126e-07,6.177809633498504e-05,9.201232278347945e-08,0.109727,17.17242,957.653061,8.606557,9.475
ME02,2008-04-13 10:00:00+00:00,1.9922382506827081e-07,5.83596890037677e-05,1.456770338932509e-07,0.138828,16.924471,958.110814,13.114754,9.475
ME02,2008-04-13 11:00:00+00:00,1.704920484943388e-07,3.515552825006425e-05,9.099364324176016e-08,0.110228,17.983025,958.210948,20.081967,9.475
ME02,2008-04-13 12:00:00+00:00,1.9843513239139475e-07,3.3620655911802316e-05,1.1799518386348562e-07,0.105713,18.564753,958.468434,9.42623,9.95
ME02,2008-04-13 13:00:00+00:00,1.7955419475790108e-07,2.2506931487135788e-05,1.9665745085351852e-07,0.106214,16.800496,957.924852,20.491803,9.95
ME02,2008-04-13 14:00:00+00:00,1.4038805293439797e-07,1.4460363257944865e-05,6.026504256198394e-08,0.103204,16.423803,957.195308,13.934426,9.95
ME02,2008-04-13 15:00:00+00:00,1.3728642294777529e-07,1.2108789337328693e-05,5.88558092609821e-08,0.1022,16.700362,956.680336,10.655738,9.95
ME02,2008-04-13 16:00:00+00:00,1.4040321235367915e-07,1.5517714541852852e-05,5.987659424542302e-08,0.098186,15.699027,956.637421,0.0,9.95
ME02,2008-04-13 17:00:00+00:00,1.5338829887166646e-07,1.6545909207620825e-05,6.555441031568689e-08,0.101698,14.611863,956.136754,0.0,9.95
ME02,2008-04-13 18:00:00+00:00,1.5398221220762655e-07,1.4416495256522444e-05,6.725071362098716e-08,0.101698,13.314896,955.807744,0.409836,10.425
ME02,2008-04-13 19:00:00+00:00,1.557773871780838e-07,1.8629511821852808e-05,6.797908643343504e-08,0.108723,12.623498,956.008011,0.0,10.425
ME02,2008-04-13 20:00:00+00:00,1.5602271324466794e-07,1.2770597380528872e-05,6.732729276837774e-08,0.120765,11.870113,956.151059,0.0,10.425
ME02,2008-04-13 21:00:00+00:00,1.562164255434072e-07,1.5647034479532017e-05,6.728653734987104e-08,0.112235,12.175281,956.222582,0.0,10.425
ME02,2008-04-13 22:00:00+00:00,1.5699782275213741e-07,1.628934480221915e-05,6.748331935845312e-08,0.125281,11.803357,956.165363,0.819672,10.425
ME02,2008-04-13 23:00:00+00:00,1.5805002331020985e-07,1.4700006242736124e-05,6.855253023246288e-08,0.115748,11.946405,956.236887,0.0,10.425
ME02,2008-04-14 00:00:00+00:00,1.6399973349247588e-07,1.339108737012385e-05,7.446618146919108e-08,0.128292,11.092886,955.636086,12.704918,10.9
ME02,2008-04-14 01:00:00+00:00,1.659245581320133e-07,1.6510394335681482e-05,7.187901902577834e-08,0.132306,10.797253,955.121114,0.0,10.9
ME02,2008-04-14 02:00:00+00:00,1.7384018595493474e-07,1.463532889665011e-05,7.173110893183593e-08,0.131302,10.544536,954.69197,29.098361,10.9
ME02,2008-04-14 03:00:00+00:00,1.7395129288138e-07,1.7435817761932428e-05,7.339073098135926e-08,0.132807,10.058173,954.162693,16.803279,10.9
ME02,2008-04-14 04:00:00+00:00,1.7393225438190822e-07,1.4159658902658727e-05,7.439321931186449e-08,0.132306,10.163075,954.792104,45.491803,10.9
ME02,2008-04-14 05:00:00+00:00,1.810489096285261e-07,1.851736588329402e-05,7.65942502138806e-08,0.127288,10.415792,954.548922,4.098361,10.9
