station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,Patm_3,WindSpeed,Rain,CO2_SO2
ME01,2008-04-12 00:00:00+00:00,2.8626567225329167e-08,3.405814286426442e-07,5.63048510274277e-09,0.110228,15.479687,948.154682,0.0,0.0,13.0
ME01,2008-04-12 00:10:00+00:00,3.4540298079097326e-08,1.3832761711861164e-07,5.988449489141003e-09,0.110228,15.479687,948.154682,0.0,0.0,13.0
ME01,2008-04-12 00:20:00+00:00,3.3465681008438206e-08,5.257794991403595e-07,6.299398263503897e-09,0.110228,15.479687,948.154682,0.0,0.0,13.0
ME01,2008-04-12 00:30:00+00:00,3.182852029558527e-08,1.8203450615186492e-07,6.316636654365495e-09,0.110228,15.479687,948.154682,0.0,0.0,13.0
ME01,2008-04-12 00:40:00+00:00,3.581259370852797e-08,1.6087646416804731e-06,6.361582775859296e-09,0.110228,15.479687,948.154682,0.0,0.0,13.0
ME01,2008-04-12 00:50:00+00:00,5.569667738761223e-07,1.4081995860156459e-05,5.72149168036469e-09,0.110228,15.479687,948.154682,0.0,0.0,13.0
ME01,2008-04-12 01:00:00+00:00,4.0910821471566853e-08,2.4495778857063877e-06,7.709706735491087e-09,0.1022,20.390998,948.040244,3.278689,0.0,13.0
ME01,2008-04-12 01:10:00+00:00,4.5985368637056864e-08,1.9464184945461064e-06,5.840362267772768e-09,0.1022,20.390998,948.040244,3.278689,0.0,13.0
ME01,2008-04-12 01:20:00+00:00,4.106100196940609e-08,1.3078474285742476e-06,4.897092371905645e-09,0.1022,20.390998,948.040244,3.278689,0.0,13.0
ME01,2008-04-12 01:30:00+00:00,4.270992542321911e-08,1.0661534069401414e-06,5.121561505566411e-09,0.1022,20.390998,948.040244,3.278689,0.0,13.0
ME01,2008-04-12 01:40:00+00:00,4.144906557076454e-08,2.2909880492927857e-06,6.250681655074086e-09,0.1022,20.390998,948.040244,3.278689,0.0,13.0
ME01,2008-04-12 01:50:00+00:00,4.223488712970695e-08,9.07693587340288e-06,5.476291135572636e-09,0.1022,20.390998,948.040244,3.278689,0.0,13.0
ME01,2008-04-12 02:00:00+00:00,3.813400972727057e-08,1.0147110604764601e-05,4.621643681837542e-09,0.109727,16.810032,947.725539,0.0,0.0,13.0
ME01,2008-04-12 02:10:00+00:00,4.016746345917634e-08,6.783923073781218e-06,4.963100126418616e-09,0.109727,16.810032,947.725539,0.0,0.0,13.0
ME01,2008-04-12 02:20:00+00:00,3.894506917850294e-08,3.262930987206629e-06,5.422984628912183e-09,0.109727,16.810032,947.725539,0.0,0.0,13.0
ME01,2008-04-12 02:30:00+00:00,4.604099244440583e-08,3.860175795345707e-06,1.547518685039886e-08,0.109727,16.810032,947.725539,0.0,0.0,13.0
ME01,2008-04-12 02:40:00+00:00,3.888308526565965e-08,3.0558947088607423e-06,6.507702602705418e-09,0.109727,16.810032,947.725539,0.0,0.0,13.0
ME01,2008-04-12 02:50:00+00:00,4.0582745881921296e-08,1.208174399071352e-06,7.353033866381471e-09,0.109727,16.810032,947.725539,0.0,0.0,13.0
ME01,2008-04-12 03:00:00+00:00,3.705658966981235e-08,8.017288902673054e-07,8.526395993244191e-09,0.106214,17.158116,947.525272,0.0,0.0,13.0
ME01,2008-04-12 03:10:00+00:00,3.8413071173353155e-08,4.3935211244091375e-07,7.909657419929622e-09,0.106214,17.158116,947.525272,0.0,0.0,13.0
ME01,2008-04-12 03:20:00+00:00,3.498835296252259e-08,4.1589279956155107e-07,6.493493133789037e-09,0.106214,17.158116,947.525272,0.0,0.0,13.0
ME01,2008-04-12 03:30:00+00:00,4.158221455652968e-08,3.4275996470052246e-07,5.910859892364488e-09,0.106214,17.158116,947.525272,0.0,0.0,13.0
ME01,2008-04-12 03:40:00+00:00,3.513940259311406e-08,3.5003018858145674e-07,6.954800688685524e-09,0.106214,17.158116,947.525272,0.0,0.0,13.0
ME01,2008-04-12 03:50:00+00:00,4.179220230564995e-08,7.891610790889928e-07,1.5093032145042595e-08,0.106214,17.158116,947.525272,0.0,0.0,13.0
ME01,2008-04-12 04:00:00+00:00,3.756798350102405e-08,2.3611151408240747e-07,9.933501773471542e-09,0.105713,16.290292,947.553881,0.0,0.0,13.0
ME01,2008-04-12 04:10:00+00:00,3.657733734430049e-08,1.9789110959468577e-07,1.1212702550407818e-08,0.105713,16.290292,947.553881,0.0,0.0,13.0
ME01,2008-04-12 04:20:00+00:00,3.62284776268142e-08,4.828410904015937e-07,1.2458930037157852e-08,0.105713,16.290292,947.553881,0.0,0.0,13.0
ME01,2008-04-12 04:30:00+00:00,3.722517846254666e-08,2.110697449367121e-07,1.1417057044969316e-08,0.105713,16.290292,947.553881,0.0,0.0,13.0
ME01,2008-04-12 04:40:00+00:00,3.645590128285532e-08,1.5341376305906293e-07,1.3391586019307857e-08,0.105713,16.290292,947.553881,0.0,0.0,13.0
ME01,2008-04-12 04:50:00+00:00,4.195120024919213e-08,1.8601297825438756e-07,1.8012604033114234e-08,0.105713,16.290292,947.553881,0.0,0.0,13.0
