station,channel,location,metadata_start_date,metadata_end_date,actual_data_start_date,actual_data_end_date,actual_data_ranges,missing_dates,lat,lon,distance_km,ok_days,n_days,ok_fraction,mean_probe_coverage,min_probe_coverage,n_error_days,sample_rates,channel_rank
ESLN,HHZ,,2005-07-10,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.6934,14.9744,6.44527795642232,32,32,1.0,1.0,1.0,0,100.0,1
ESLN,BHZ,,2005-07-10,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.6934,14.9744,6.44527795642232,32,32,1.0,0.9999895833333333,0.9999166666666668,0,20.0,2
ESLN,LHZ,,2005-07-10,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.6934,14.9744,6.44527795642232,32,32,1.0,1.0,1.0,0,1.0,5
ESLN,VHZ,,2005-07-10,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.6934,14.9744,6.44527795642232,32,32,1.0,1.0,1.0,0,0.1,6
ECTS,HHZ,,2007-07-18,2019-12-23,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.8825,15.1212,18.409269603087928,32,32,1.0,0.9942729166666666,0.8167333333333333,0,100.0,1
GIO,SHZ,,2007-12-04,2013-03-13,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.56667,15.10833,22.342208604897923,32,32,1.0,0.9974958333333332,0.9599666666666667,0,50.0,4
MNO,SHZ,,2007-12-17,2019-11-27,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.931,14.695,33.566606903670404,32,32,1.0,1.0330416666666666,0.9498666666666666,0,50.0,4
MALI,EHZ,01,2007-10-20,2009-04-23,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.053,15.4,48.86838726074389,32,32,1.0,1.0,1.0,0,125.0,3
HAGA,HHZ,,2005-02-17,2022-05-16,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.2858,15.1552,53.208633119412184,32,32,1.0,1.0,1.0,0,100.0,1
AGST,EHZ,,2004-05-24,2012-08-13,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.25652,15.22713,58.23754879809733,32,32,1.0,1.0,1.0,0,50.0,3
ME01,EHZ,,2007-10-18,2009-02-03,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.932919,14.361088,59.671471883021134,32,32,1.0,1.0,1.0,0,125.0,3
ATN,SHZ,,2003-03-01,2009-04-12,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.15948,15.46472,61.32550442997968,32,32,1.0,0.9968697916666667,0.9583,0,50.0,4
MILZ,HHZ,,2008-02-26,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2713,15.2313,61.64477547271431,32,32,1.0,1.0,1.0,0,100.0,1
MILZ,BHZ,,2008-02-26,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2713,15.2313,61.64477547271431,32,32,1.0,1.0,1.0,0,20.0,2
MILZ,LHZ,,2008-02-26,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2713,15.2313,61.64477547271431,32,32,1.0,1.0,1.0,0,1.0,5
SSY,HHZ,,2005-06-01,2023-03-13,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1577,15.0737,65.9687366486017,32,32,1.0,1.0,1.0,0,100.0,1
SSY,BHZ,,2005-06-01,2023-03-13,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1577,15.0737,65.9687366486017,32,32,1.0,0.9999947916666667,0.9999166666666668,0,20.0,2
SSY,LHZ,,2005-06-01,2023-03-13,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1577,15.0737,65.9687366486017,32,32,1.0,0.9999479166666667,0.9983333333333333,0,1.0,5
SSY,VHZ,,2005-06-01,2023-03-13,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1577,15.0737,65.9687366486017,32,32,1.0,0.9994791666666667,0.9833333333333333,0,0.1,6
MTTG,HHZ,,2007-01-24,2025-11-07,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.0031,15.69992,67.74492694370812,32,32,1.0,1.0,1.0,0,100.0,1
MTTG,BHZ,,2007-01-24,2025-11-07,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.0031,15.69992,67.74492694370812,32,32,1.0,0.9999869791666667,0.9999166666666668,0,20.0,2
MTTG,LHZ,,2007-01-24,2025-11-07,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.0031,15.69992,67.74492694370812,32,32,1.0,1.0,1.0,0,1.0,5
MTTG,VHZ,,2007-01-24,2025-11-07,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.0031,15.69992,67.74492694370812,32,32,1.0,1.0,1.0,0,0.1,6
HVZN,HHZ,,2005-07-10,2013-01-24,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1783,14.7155,68.11030829037195,32,32,1.0,1.0,1.0,0,100.0,1
HVZN,BHZ,,2005-07-10,2023-03-08,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1783,14.7155,68.11030829037195,32,32,1.0,0.9999973958333334,0.9999166666666668,0,20.0,2
HVZN,LHZ,,2005-07-10,2023-03-08,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1783,14.7155,68.11030829037195,32,32,1.0,1.0,1.0,0,1.0,5
HVZN,VHZ,,2005-07-10,2023-03-08,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.1783,14.7155,68.11030829037195,32,32,1.0,1.0,1.0,0,0.1,6
MEU,SHZ,,2007-12-12,2019-12-11,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,37.11112,14.83,72.37295776040692,32,32,1.0,0.9961947916666667,0.9583,0,50.0,4
MSRU,HHZ,,2004-07-12,2023-03-14,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2639,15.5083,72.67692836590916,32,32,1.0,1.0,1.0,0,100.0,1
MSRU,BHZ,,2004-07-12,2023-03-14,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2639,15.5083,72.67692836590916,32,32,1.0,0.9999947916666667,0.9999166666666668,0,20.0,2
MSRU,LHZ,,2004-07-12,2023-03-14,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2639,15.5083,72.67692836590916,32,32,1.0,1.0,1.0,0,1.0,5
MSRU,VHZ,,2004-07-12,2023-03-14,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.2639,15.5083,72.67692836590916,32,32,1.0,1.0,1.0,0,0.1,6
MRCB,HHZ,01,2007-11-08,2009-06-10,2008-04-12,2008-05-13,2008-04-12 to 2008-05-13,,38.162,15.703,77.0001018812608,32,32,1.0,1.0,1.0,0,100.0,1
