network,station,location,channel,date,ok,n_traces,coverage_fraction,sample_rates,error,distance_km,lat,lon,metadata_start_date,metadata_end_date
IV,ESLN,,BHZ,2008-04-12,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-13,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-14,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-15,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-16,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-17,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-18,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-19,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-20,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-21,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-22,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-23,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-24,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-25,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-26,True,1,0.9999166666666668,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-27,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-28,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-29,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-04-30,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-05-01,True,1,1.0,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
IV,ESLN,,BHZ,2008-05-02,True,1,0.9999166666666668,20.0,,6.44527795642232,37.6934,14.9744,2005-07-10,open/unknown
