experiment_type,split_id,representative_min_I2_length,supported_min_I2_lengths,n_supporting_min_I2_values,split_timestamp_expected,I1_length_expected,I2_length_expected,run,backend,lag,case_pre_days,case_post_days,reference_days,split_timestamp,split_score,boundary_split,I1_length,I2_length,B_1,B_2,trigger_candidates,T_candidates_lagged,T_candidates_contemporaneous,accepted_triggers,causes,pairs,n_contemporaneous_links,n_diagnostics,stop_reason,warning_count,warning_categories,warning_messages,error,effective_I2_rows,backend_label,reference_criterion
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,1,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],[],[],[],[],[],[],[],0,0,No lagged non-target B2 variables are available to construct V.,56,"[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,47,HMML (baseline),BIC
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,2,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]",[],"[""teleseismic_scaled"", ""CO2_3_scaled""]","[""local_event_rate_state_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""], [""local_event_rate_state_scaled"", ""CO2_3_scaled""]]",0,3,,22,"[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,46,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,3,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled""]",[],"[""teleseismic_scaled""]","[""local_event_rate_state_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""]]",0,2,,17,"[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,45,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,4,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""rainfall_mm_scaled""]","[""teleseismic_scaled"", ""rainfall_mm_scaled""]","[""teleseismic_scaled"", ""rainfall_mm_scaled""]",[],"[""teleseismic_scaled""]","[""rainfall_mm_scaled""]","[[""rainfall_mm_scaled"", ""teleseismic_scaled""]]",0,2,,16,"[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,44,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,5,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]",[],"[""teleseismic_scaled""]","[""local_event_rate_state_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""]]",0,3,,16,"[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,43,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,6,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]",[],"[""teleseismic_scaled""]","[""local_event_rate_state_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""]]",0,3,,16,"[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,42,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,7,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled"", ""pressure_drop_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled"", ""pressure_drop_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""rainfall_mm_scaled"", ""pressure_drop_scaled""]",[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled""]","[""local_event_rate_state_scaled"", ""rainfall_mm_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""], [""rainfall_mm_scaled"", ""local_event_rate_state_scaled""]]",0,4,,19,"[""RuntimeWarning"", ""PerfectSeparationWarning""]","[""invalid value encountered in scalar divide"", ""divide by zero encountered in scalar divide"", ""Perfect separation or prediction detected, parameter may not be identified""]",,41,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,8,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]",[],"[""CO2_3_scaled""]","[""local_event_rate_state_scaled""]","[[""local_event_rate_state_scaled"", ""CO2_3_scaled""]]",0,3,,42,"[""RuntimeWarning"", ""PerfectSeparationWarning""]","[""invalid value encountered in scalar divide"", ""divide by zero encountered in scalar divide"", ""Perfect separation or prediction detected, parameter may not be identified""]",,40,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,9,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]",[],"[""teleseismic_scaled""]","[""local_event_rate_state_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""]]",0,3,,31,"[""RuntimeWarning"", ""PerfectSeparationWarning""]","[""invalid value encountered in scalar divide"", ""divide by zero encountered in scalar divide"", ""Perfect separation or prediction detected, parameter may not be identified""]",,39,HMML (baseline),
unique_split_backend_max_lag_grid,S1,48,[48],1,2008-05-13 06:00:00+00:00,96,48,hmml,hmml,10,3,3,14,2008-05-13 06:00:00+00:00,0.8942965549024273,True,96,48,[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[""teleseismic_scaled"", ""local_event_rate_state_scaled"", ""CO2_3_scaled""]",[],"[""teleseismic_scaled"", ""local_event_rate_state_scaled""]","[""local_event_rate_state_scaled"", ""CO2_3_scaled""]","[[""local_event_rate_state_scaled"", ""teleseismic_scaled""], [""CO2_3_scaled"", ""local_event_rate_state_scaled""]]",0,3,,73,"[""RuntimeWarning"", ""PerfectSeparationWarning""]","[""invalid value encountered in scalar divide"", ""divide by zero encountered in scalar divide"", ""Perfect separation or prediction detected, parameter may not be identified""]",,38,HMML (baseline),
