run,backend,lag,accepted,f_stat,critical_f,p_value,rss_reduced,rss_full,rss_reduction_ratio,gamma_2,hierarchical_ols_accepted,hierarchical_ols_f_stat,hierarchical_ols_p_value,hierarchical_ols_gamma_2,hierarchical_rss_reduced,hierarchical_rss_full,hierarchical_residual_lag1,hierarchical_effective_n,hierarchical_denominator_df,hierarchical_reason,hac_6_max_lag_used,hac_6_standard_error,hac_6_test_statistic,hac_6_p_value,hac_6_accepted,hac_6_reason,hac_12_max_lag_used,hac_12_standard_error,hac_12_test_statistic,hac_12_p_value,hac_12_accepted,hac_12_reason,hac_24_max_lag_used,hac_24_standard_error,hac_24_test_statistic,hac_24_p_value,hac_24_accepted,hac_24_reason,trigger,cause,trigger_source,reason,experiment_type,split_id,representative_min_I2_length,supported_min_I2_lengths,n_supporting_min_I2_values,split_timestamp,case_pre_days,case_post_days,reference_days,alpha,pcmci_pc_alpha,pcmci_plus_pc_alpha,pcmci_alpha_level,pcmci_fdr_method,conditional_independence_test,hac_lags,bh_adjusted_p_value,accepted_after_bh,hierarchical_ols_bh_adjusted_p_value,hierarchical_ols_accepted_after_bh,hac_6_bh_adjusted_p_value,hac_6_accepted_after_bh,hac_12_bh_adjusted_p_value,hac_12_accepted_after_bh,hac_24_bh_adjusted_p_value,hac_24_accepted_after_bh,backend_label,trigger_source_label,reference_criterion,cause_label,trigger_label
hmml,hmml,1,True,24.237170658710312,3.9738969916082687,5.233965588353633e-06,11.008377802888383,8.235936243583092,0.2518483294221476,-0.17076866993556844,True,6.431870903918341,0.013410559925937201,-0.11347186689638333,8.516054947238128,7.808669662704871,0.053273553742935985,75.0,71.0,,6.0,0.031950469988827945,-3.5514928868358058,0.000684971855820287,True,,12.0,0.02546768615630626,-4.4555232147890145,3.052837166100772e-05,True,,24.0,0.016857999595751308,-6.731039839684268,3.6416507398698048e-09,True,,local_event_rate_state_scaled,CO2_3_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",1.884227611807308e-05,True,0.026821119851874402,True,0.0016439324539686889,True,8.811409889431474e-05,True,1.4566602959479219e-08,True,HMML (baseline),Lagged,BIC,Soil CO₂,Past local seismicity
hmml,hmml,1,True,9.303534171412853,3.9738969916082687,0.0032000480651705825,9.073133662324578,8.034898240832739,0.11442964031302923,0.2294901750088657,True,7.455470937571511,0.007970406290001885,0.20471023879376765,8.437593358787174,7.63578525901119,0.11985327002830383,75.0,71.0,,6.0,0.04831840084434408,4.236693168990299,6.704429366211728e-05,True,,12.0,0.0376064592658293,5.443486113561757,7.073197232924759e-07,True,,24.0,0.027776722111857468,7.369848680106855,2.4516731589326084e-10,True,,CO2_3_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.00677657237330241,True,0.01687850743765105,True,0.00023261243870408566,True,2.8292788931699035e-06,True,1.26086048173677e-09,True,HMML (baseline),Lagged,BIC,Past local seismicity,Soil CO₂
hmml,hmml,1,True,21.77836664982051,3.9738969916082687,1.378583635028413e-05,9.687660228082558,7.437872521564964,0.23223230930373845,0.08900584401712863,True,8.34429843403724,0.0051260041749265715,0.06669719302229637,7.997431819208938,7.156376329118203,-0.1315455062662173,75.0,71.0,,6.0,0.02770207615887047,2.4076604453684345,0.01865595947030719,True,,12.0,0.025356381965908344,2.6303907675775964,0.010451484963146221,True,,24.0,0.02208575730719388,3.0199187691232776,0.0035119501809003,True,,teleseismic_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",4.511728260092988e-05,True,0.01230241001982377,True,0.03731191894061438,True,0.020902969926292442,True,0.0073164334465818815,True,HMML (baseline),Lagged,BIC,Past local seismicity,Teleseismic-band RMS
hmml,hmml,2,True,8.433364902025474,3.9758101541755533,0.004906599539924691,10.412881576324333,9.30735583002069,0.1061690501520027,-0.12022159856829943,False,0.25289579503744103,0.6166220200929939,-0.025986688868248935,8.3831096889567,8.352932239818376,-0.15934626397860044,74.0,70.0,,6.0,0.05264863545016612,-0.4935871299617309,0.6231429280553428,False,,12.0,0.05108872802858311,-0.5086579735105151,0.6125914652091888,False,,24.0,0.04155058412366689,-0.625422949311731,0.5337272437652851,False,,local_event_rate_state_scaled,CO2_3_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.009813199079849382,True,0.6342397920956508,False,0.7010357940622606,False,0.6891653983603374,False,0.6198122830822667,False,HMML (baseline),Lagged,AIC,Soil CO₂,Past local seismicity
hmml,hmml,2,True,13.25341105677782,3.9758101541755533,0.0005130734566198865,6.498642961481193,5.476379466158679,0.15730414817088453,0.23100874860307136,True,12.13169365953296,0.0008588902403598893,0.21937301888593627,6.168166274122643,5.2570648424522,-0.006039375580414588,74.0,70.0,,6.0,0.033286624358685395,6.590425527144083,6.910534275436296e-09,True,,12.0,0.027770005608344476,7.899638983868909,2.7958553497114075e-11,True,,24.0,0.018978570655826185,11.55898528209718,6.8654016066657284e-18,True,,CO2_3_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.0013193317455939939,True,0.0030920048652956014,True,8.292641130523555e-08,True,2.516269814740267e-10,True,1.2357722891998312e-16,True,HMML (baseline),Lagged,AIC,Past local seismicity,Soil CO₂
hmml,hmml,2,True,30.902472431262048,3.9758101541755533,4.469268945376943e-07,7.953484755074082,5.5415477577462555,0.30325537441799755,0.09043916197679487,True,15.811295040802296,0.00016824679337859927,0.08100234007809493,6.735659059498917,5.494569612785043,-0.22138238156922677,74.0,70.0,,6.0,0.016848300687433183,4.807745397048438,8.444030868127266e-06,True,,12.0,0.01416841460735956,5.717106841016604,2.454490071560351e-07,True,,24.0,0.013029513850987662,6.216835179307537,3.2320778545499155e-08,True,,teleseismic_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2.681561367226166e-06,True,0.0007571105702036967,True,3.79981389065727e-05,True,1.1045205322021579e-06,True,1.1635480276379696e-07,True,HMML (baseline),Lagged,AIC,Past local seismicity,Teleseismic-band RMS
hmml,hmml,3,True,6.6277355229765815,3.9777793928101928,0.012157588813215539,5.285890468333475,4.828699820737835,0.08649264496390181,0.15480290472146233,True,5.548101432918119,0.021349336544046093,0.1417638881192474,5.047476613786627,4.67182771468261,-0.0017860927358775455,73.0,69.0,,6.0,0.039221362520742806,3.61445597521691,0.0005676347400201853,True,,12.0,0.032977322067584046,4.29882959655472,5.527482459804473e-05,True,,24.0,0.02455452463625787,5.7734324007199485,2.029854844512112e-07,True,,CO2_3_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.02134573066900278,True,0.03928867337645029,True,0.0014596321886233335,True,0.00014213526325211503,True,6.643161309312366e-07,True,HMML (baseline),Lagged,,Past local seismicity,Soil CO₂
hmml,hmml,3,True,30.060416901326413,3.9777793928101928,6.239357638644598e-07,7.653811740263673,5.354433235540066,0.3004226629494278,0.08442358031671576,True,12.635221926092317,0.0006884937682298996,0.06823222299442666,6.160940135372209,5.207370780783166,-0.11572442600332854,73.0,69.0,,6.0,0.016138946587610743,4.227799046488323,7.107602293735951e-05,True,,12.0,0.015323199833083587,4.452870401592605,3.181898015628032e-05,True,,24.0,0.014941716270828548,4.566558603956348,2.104368785059769e-05,True,,teleseismic_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",3.208812499874365e-06,True,0.0027539750729195984,True,0.00023261243870408566,True,8.811409889431474e-05,True,5.41123401872512e-05,True,HMML (baseline),Lagged,,Past local seismicity,Teleseismic-band RMS
hmml,hmml,3,False,3.3119928957340568,3.9777793928101928,0.07305160796877833,10.068361794485153,9.613506573424106,0.04517668617253996,-0.0767626765947093,False,0.020686315233386668,0.8860560189248775,0.0070725529659751984,8.546763580068202,8.544202014035157,-0.20740525850902936,73.0,69.0,,6.0,0.05505214795769088,0.12847006390033416,0.8981507086844673,False,,12.0,0.054176569392977166,0.1305463421774359,0.8965140517356973,False,,24.0,0.048328249192561595,0.14634407585913053,0.8840764950215717,False,,local_event_rate_state_scaled,CO2_3_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.0974021439583711,False,0.8860560189248775,False,0.8981507086844673,False,0.8965140517356972,False,0.8840764950215717,False,HMML (baseline),Lagged,,Soil CO₂,Past local seismicity
hmml,hmml,4,True,26.318253052189654,3.9798072092573857,2.536974727726456e-06,7.483830961586652,5.417475874917082,0.27610926773678496,0.08110123857895629,True,11.848481567075558,0.000991466515600936,0.0675014957614618,6.236647253539374,5.311209492248454,-0.11883652910928966,72.0,68.0,,6.0,0.018051744129971962,3.739333732821231,0.0003807704086553186,True,,12.0,0.01826842052422852,3.6949825887759618,0.0004404718208067414,True,,24.0,0.017242322573113325,3.9148725744592965,0.00021197365056815313,True,,teleseismic_scaled,local_event_rate_state_scaled,lagged,,unique_split_backend_max_lag_grid,S1,36,"[36, 48, 60, 72]",4,2008-05-13 02:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",1.0147898910905824e-05,True,0.0032447995056030634,True,0.001077694353946222,True,0.0010571323699361793,True,0.0005087367613635674,True,HMML (baseline),Lagged,,Past local seismicity,Teleseismic-band RMS
