section,backend,partition,cause,trigger,trigger_source,lag,metric,value,details
design,,,,,,,Dataset coverage,2008-04-11 14:00:00+00:00 to 2008-05-19 06:00:00+00:00 (905 retained hourly rows),
design,,,,,,,Causal-analysis interval,"[2008-05-05 06:00:00+00:00, 2008-05-16 06:00:00+00:00) (264 h; 7 d before and 4 d after the event hour)",
design,,,,,,,Reference-standardisation interval,"[2008-04-21 06:00:00+00:00, 2008-05-05 06:00:00+00:00); 336/336 h (100.0% coverage)",
design,,,,,,,Wenchuan earthquake origin time,2008-05-12 06:28:00+00:00,
design,,,,,,,Effect maximum,2008-05-13 13:00:00+00:00 (1 days 06:32:00 from event),
design,,,,,,,Minimum interval design,"I1 >= 72 h; minimum-I2 grid = (36, 48, 60, 72) h",
design,,,,,,,Maximum-lag-order design,"d = 1-12 h for HMML, PCMCI, and PCMCI+",
design,,,,,,,PCMCI extension settings,PCMCI pc_alpha=0.2; PCMCI+ pc_alpha=0.01; link alpha=0.05; FDR=fdr_bh; conditional-independence test=robust_parcorr,
design,,,,,,,Unique split partitions,1 unique causal partition(s) from 4 causal minimum-I2 settings; ,
design,,,,,,,Causal run count,36 unique runs after split deduplication (144 rows would be produced without deduplication),
automatic_lag_reference,,,,,,2.0,AIC,2 h,"{""maximum_lag_tested"": 12, ""search_boundary"": false}"
automatic_lag_reference,,,,,,1.0,BIC,1 h,"{""maximum_lag_tested"": 12, ""search_boundary"": false}"
automatic_lag_outcome,HMML (baseline),S1,,,,2.0,AIC,Accepted: Soil CO₂ → Past local seismicity [Lagged]; Past local seismicity → Soil CO₂ [Lagged]; Past local seismicity → Teleseismic RMS [Lagged],"{""minimum_I2_support"": ""[36, 48, 60, 72]"", ""search_boundary"": false}"
automatic_lag_outcome,PCMCI,S1,,,,2.0,AIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[36, 48, 60, 72]"", ""search_boundary"": false}"
automatic_lag_outcome,PCMCI+ with eligible τ=0 triggers,S1,,,,2.0,AIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[36, 48, 60, 72]"", ""search_boundary"": false}"
automatic_lag_outcome,HMML (baseline),S1,,,,1.0,BIC,Accepted: Soil CO₂ → Past local seismicity [Lagged]; Past local seismicity → Soil CO₂ [Lagged]; Past local seismicity → Teleseismic RMS [Lagged],"{""minimum_I2_support"": ""[36, 48, 60, 72]"", ""search_boundary"": false}"
automatic_lag_outcome,PCMCI,S1,,,,1.0,BIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[36, 48, 60, 72]"", ""search_boundary"": false}"
automatic_lag_outcome,PCMCI+ with eligible τ=0 triggers,S1,,,,1.0,BIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[36, 48, 60, 72]"", ""search_boundary"": false}"
split_grid,,S1,,,,,min_I2=36 h,2008-05-13T02:00:00+00:00,"{""I1_length"": 188, ""I2_length"": 76, ""split_score"": 0.680639959169779, ""boundary_split"": false, ""distance_to_event"": ""0 days 19:32:00""}"
split_grid,,S1,,,,,min_I2=48 h,2008-05-13T02:00:00+00:00,"{""I1_length"": 188, ""I2_length"": 76, ""split_score"": 0.680639959169779, ""boundary_split"": false, ""distance_to_event"": ""0 days 19:32:00""}"
split_grid,,S1,,,,,min_I2=60 h,2008-05-13T02:00:00+00:00,"{""I1_length"": 188, ""I2_length"": 76, ""split_score"": 0.680639959169779, ""boundary_split"": false, ""distance_to_event"": ""0 days 19:32:00""}"
split_grid,,S1,,,,,min_I2=72 h,2008-05-13T02:00:00+00:00,"{""I1_length"": 188, ""I2_length"": 76, ""split_score"": 0.680639959169779, ""boundary_split"": false, ""distance_to_event"": ""0 days 19:32:00""}"
backend_by_unique_split,HMML (baseline),S1,,,,,result,Accepted pair(s) at 12 maximum-lag order(s),"{""Minimum-I2 support"": ""[36, 48, 60, 72]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""12/12"", ""Trigger-candidate lags"": ""12/12"", ""Accepted-pair lags"": ""12/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""12/12""}"
backend_by_unique_split,PCMCI,S1,,,,,result,Accepted pair(s) at 2 maximum-lag order(s),"{""Minimum-I2 support"": ""[36, 48, 60, 72]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""6/12"", ""Trigger-candidate lags"": ""6/12"", ""Accepted-pair lags"": ""2/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""0/12""}"
backend_by_unique_split,PCMCI+ with eligible τ=0 triggers,S1,,,,,result,Candidates found; none passed moderation,"{""Minimum-I2 support"": ""[36, 48, 60, 72]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""5/12"", ""Trigger-candidate lags"": ""6/12"", ""Accepted-pair lags"": ""0/12"", ""τ=0-link lags"": ""3/12"", ""Warning runs"": ""0/12""}"
pair_stability,HMML (baseline),,Past local seismicity,Teleseismic RMS,Lagged,,accepted_split_lag_support,11/12,"{""BH-supported cells"": ""11/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"", ""Lag-order support"": ""11/12"", ""Longest adjacent lag run"": 11}"
pair_stability,HMML (baseline),,Soil CO₂,Past local seismicity,Lagged,,accepted_split_lag_support,4/12,"{""BH-supported cells"": ""4/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[1, 2, 5, 12]"", ""Lag-order support"": ""4/12"", ""Longest adjacent lag run"": 2}"
pair_stability,HMML (baseline),,Past local seismicity,Soil CO₂,Lagged,,accepted_split_lag_support,3/12,"{""BH-supported cells"": ""3/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[1, 2, 3]"", ""Lag-order support"": ""3/12"", ""Longest adjacent lag run"": 3}"
pair_stability,PCMCI,,Rainfall,Teleseismic RMS,Lagged,,accepted_split_lag_support,2/12,"{""BH-supported cells"": ""2/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[8, 9]"", ""Lag-order support"": ""2/12"", ""Longest adjacent lag run"": 2}"
pair_stability,HMML (baseline),,Teleseismic RMS,Past local seismicity,Lagged,,accepted_split_lag_support,2/12,"{""BH-supported cells"": ""2/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[8, 10]"", ""Lag-order support"": ""2/12"", ""Longest adjacent lag run"": 1}"
pair_stability,HMML (baseline),,Past local seismicity,Rainfall,Lagged,,accepted_split_lag_support,1/12,"{""BH-supported cells"": ""1/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[12]"", ""Lag-order support"": ""1/12"", ""Longest adjacent lag run"": 1}"
pair_stability,PCMCI,,Teleseismic RMS,Rainfall,Lagged,,accepted_split_lag_support,1/12,"{""BH-supported cells"": ""1/12"", ""Partitions"": ""['S1']"", ""Partition support"": ""1/1"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[9]"", ""Lag-order support"": ""1/12"", ""Longest adjacent lag run"": 1}"
warnings,HMML (baseline),S1,,,,,warning_count,299,"{""runs_with_warnings"": 12, ""messages"": ""invalid value encountered in scalar divide; divide by zero encountered in scalar divide; Perfect separation or prediction detected, parameter may not be identified""}"
multiplicity_audit,,,,,,,fitted_moderation_tests,36,
multiplicity_audit,,,,,,,f_accepted_tests,24,
multiplicity_audit,,,,,,,BH_supported_tests,24,
execution,,,,,,,error_count,0,
