experiment_type,split_id,representative_min_I2_length,supported_min_I2_lengths,n_supporting_min_I2_values,split_timestamp_expected,I1_length_expected,I2_length_expected,run,backend,lag,case_pre_days,case_post_days,reference_days,alpha,pcmci_pc_alpha,pcmci_plus_pc_alpha,pcmci_alpha_level,pcmci_fdr_method,conditional_independence_test,hac_lags,split_timestamp,split_score,boundary_split,I1_length,I2_length,B_1,B_2,trigger_candidates,T_candidates_lagged,T_candidates_contemporaneous,accepted_triggers,causes,pairs,n_contemporaneous_links,n_diagnostics,stop_reason,warning_count,warning_scope,warning_categories,warning_messages,error,effective_I2_rows,backend_label,reference_criterion
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,1,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]",[],[],[],[],[],[],[],0,0,No lagged non-target B2 variables are available to construct V.,94,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,71,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,2,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""rainfall_mm_scaled""]",[],[],[],[],[],[],0,0,No trigger candidates satisfy the mean condition.,22,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,70,HMML (baseline),BIC
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,3,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],[],[],[],[],[],[],0,0,No lagged non-target B2 variables are available to construct V.,14,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,69,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,4,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],[],[],[],[],[],[],0,0,No lagged non-target B2 variables are available to construct V.,13,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,68,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,5,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""hydro_2_5_scaled""]","[""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[[""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""hydro_2_5_scaled""]]",0,3,,11,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,67,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,6,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[""hydro_2_5_scaled""]","[[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]]",0,3,,9,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,66,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,7,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[""hydro_2_5_scaled""]","[[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]]",0,3,,8,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,65,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,8,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[""hydro_2_5_scaled""]","[[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]]",0,3,,7,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,64,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,9,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[""hydro_2_5_scaled""]","[[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]]",0,3,,7,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,63,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,10,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""hydro_2_5_scaled""]","[[""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""hydro_2_5_scaled""], [""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]]",0,4,,6,"complete backend run, including parent search","[""RuntimeWarning""]","[""invalid value encountered in scalar divide""]",,62,HMML (baseline),
unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,192,72,hmml,hmml,11,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",2019-12-10 01:00:00+00:00,2.043327121167049,True,192,72,"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]","[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""pressure_drop_scaled"", ""GNSS_deformation_rate_scaled""]",[],"[""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]","[""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""hydro_2_5_scaled""]","[[""spectral_log_ratio_4p5_8_over_8_16_scaled"", ""hydro_2_5_scaled""], [""hydro_2_5_scaled"", ""spectral_log_ratio_4p5_8_over_8_16_scaled""]]",0,4,,9,"complete backend run, including parent search","[""RuntimeWarning"", ""PerfectSeparationWarning""]","[""invalid value encountered in scalar divide"", ""divide by zero encountered in scalar divide"", ""Perfect separation or prediction detected, parameter may not be identified""]",,61,HMML (baseline),
